First_name,Last_name,DOB,Gender,Type,Term_start,Term_end,State
John,Bouligny,1824-02-05,M,rep,1859-12-05,1861-03-03,LA
William,Boyce,1818-10-24,M,rep,1853-12-05,1855-03-03,SC
Reese,Brabson,1817-09-16,M,rep,1859-12-05,1861-03-03,TN
Thomas,Bragg,1810-11-09,M,sen,1859-12-05,1861-12-31,NC
Lawrence,Branch,1820-11-28,M,rep,1855-12-03,1857-03-03,NC
William,Brayton,1815-11-06,M,rep,1857-12-07,1859-03-03,RI
George,Briggs,1805-05-06,M,rep,1849-12-03,1851-03-03,NY
Francis,Bristow,1804-08-11,M,rep,1853-12-05,1855-03-03,KY
Albert,Brown,1813-05-31,M,rep,1839-12-02,1841-03-03,MS
John,Burch,1826-02-01,M,rep,1859-12-05,1861-03-03,CA
Anson,Burlingame,1820-11-14,M,rep,1855-12-03,1857-03-03,MA
Silas,Burroughs,1810-07-16,M,rep,1857-12-07,1859-03-03,NY
Martin,Butterfield,1790-12-08,M,rep,1859-12-05,1861-03-03,NY
John,Carey,1792-04-05,M,rep,1859-12-05,1861-03-03,OH
Luther,Carter,1805-02-25,M,rep,1859-12-05,1861-03-03,NY
Charles,Case,1817-12-21,M,rep,1857-12-07,1859-03-03,IN
Horace,Clark,1815-11-29,M,rep,1857-12-07,1859-03-03,NY
Clement,Clay,1816-12-13,M,sen,1853-12-05,1859-03-03,AL
Sherrard,Clemens,1820-04-28,M,rep,1851-12-01,1853-03-03,VA
David,Clopton,1820-09-29,M,rep,1859-12-05,1861-03-03,AL
Williamson,Cobb,1807-06-08,M,rep,1847-12-06,1849-03-03,AL
Stephen,Coburn,1817-11-11,M,rep,1859-12-05,1861-03-03,ME
Clark,Cochrane,1815-05-31,M,rep,1857-12-07,1859-03-03,NY
John,Cochrane,1813-08-27,M,rep,1857-12-07,1859-03-03,NY
George,Cooper,1808-06-06,M,rep,1859-12-05,1861-03-03,MI
James,Craig,1818-02-28,M,rep,1857-12-07,1859-03-03,MO
Francis,Craige,1811-03-13,M,rep,1853-12-05,1855-03-03,NC
Martin,Crawford,1820-03-17,M,rep,1855-12-03,1857-03-03,GA
Jabez,Curry,1825-06-05,M,rep,1857-12-07,1859-03-03,AL
Thomas,Davidson,1805-08-03,M,rep,1855-12-03,1857-03-03,LA
John,Davis,1810-10-10,M,rep,1851-12-01,1853-03-03,IN
Reuben,Davis,1813-01-18,M,rep,1857-12-07,1859-03-03,MS
John,Dick,1794-06-17,M,rep,1853-12-05,1855-03-03,PA
William,Dimmick,1815-12-20,M,rep,1857-12-07,1859-03-03,PA
Stephen,Douglas,1813-04-23,M,rep,1843-12-04,1845-03-03,IL
Henry,Edmundson,1814-06-14,M,rep,1849-12-03,1851-03-03,VA
William,English,1822-08-27,M,rep,1853-12-05,1855-03-03,IN
Experience,Estabrook,1813-04-30,M,rep,1859-12-05,1861-03-03,NE
Emerson,Etheridge,1819-09-18,M,rep,1853-12-05,1855-03-03,TN
Thomas,Florence,1812-01-26,M,rep,1851-12-01,1853-03-03,PA
Stephen,Foster,1799-12-24,M,rep,1857-12-07,1859-03-03,ME
Ezra,French,1810-09-23,M,rep,1859-12-05,1861-03-03,ME
Muscoe,Garnett,1821-07-25,M,rep,1855-12-03,1857-03-03,VA
Lucius,Gartrell,1821-01-07,M,rep,1857-12-07,1859-03-03,GA
John,Gilmer,1805-11-04,M,rep,1857-12-07,1859-03-03,NC
William,Goode,1798-09-16,M,rep,1841-05-31,1843-03-03,VA
James,Graham,1812-09-18,M,rep,1859-12-05,1861-03-03,NY
John,Hale,1806-03-31,M,rep,1843-12-04,1845-03-03,NH
Chapin,Hall,1816-07-12,M,rep,1859-12-05,1861-03-03,PA
Andrew,Hamilton,1815-01-28,M,rep,1859-12-05,1861-03-03,TX
James,Harris,1817-11-20,M,rep,1855-12-03,1857-03-03,MD
John,Haskin,1821-08-27,M,rep,1857-12-07,1859-03-03,NY
Robert,Hatton,1826-11-02,M,rep,1859-12-05,1861-03-03,TN
Henry,Haun,1815-01-18,M,sen,1859-12-05,1861-03-03,CA
George,Hawkins,#N/A,M,rep,1857-12-07,1859-03-03,FL
William,Helmick,1817-09-06,M,rep,1859-12-05,1861-03-03,OH
John,Hemphill,1803-12-18,M,sen,1859-12-05,1861-12-31,TX
Thomas,Hindman,1828-01-28,M,rep,1859-12-05,1861-03-03,AR
Charles,Hoard,1805-06-05,M,rep,1857-12-07,1859-03-03,NY
William,Howard,1817-12-31,M,rep,1859-12-05,1861-03-03,OH
William,Howard,1813-04-08,M,rep,1855-12-03,1857-03-03,MI
George,Hughes,1806-09-30,M,rep,1859-12-05,1861-03-03,MD
Robert,Hunter,1809-04-21,M,rep,1837-09-04,1839-03-03,VA
William,Irvine,1820-02-14,M,rep,1859-12-05,1861-03-03,NY
James,Jackson,1819-10-18,M,rep,1857-12-07,1859-03-03,GA
Albert,Jenkins,1830-11-10,M,rep,1857-12-07,1859-03-03,VA
John,Jones,1824-11-13,M,rep,1859-12-05,1861-03-03,GA
Benjamin,Junkin,1822-11-12,M,rep,1859-12-05,1861-03-03,PA
Laurence,Keitt,1824-10-04,M,rep,1853-12-05,1855-03-03,SC
William,Kenyon,1820-12-13,M,rep,1859-12-05,1861-03-03,NY
David,Kilgore,1804-04-03,M,rep,1857-12-07,1859-03-03,IN
Jacob,Kunkel,1822-07-13,M,rep,1857-12-07,1859-03-03,MD
John,Landrum,1815-07-03,M,rep,1859-12-05,1861-03-03,LA
Joseph,Lane,1801-12-14,M,rep,1851-12-01,1853-03-03,OR
Charles,Larrabee,1820-11-09,M,rep,1859-12-05,1861-03-03,WI
De,Leach,1822-11-23,M,rep,1857-12-07,1859-03-03,MI
Shelton,Leake,1812-11-30,M,rep,1845-12-01,1847-03-03,VA
Moses,Lee,1805-05-29,M,rep,1859-12-05,1861-03-03,NY
Henry,Longnecker,1820-04-17,M,rep,1859-12-05,1861-03-03,PA
Peter,Love,1818-07-07,M,rep,1859-12-05,1861-03-03,GA
William,Maclay,1812-03-20,M,rep,1843-12-04,1845-03-03,NY
Charles,Martin,1829-08-05,M,rep,1859-12-05,1861-03-03,OH
Elbert,Martin,#N/A,M,rep,1859-12-05,1861-03-03,VA
Jacob,McKenty,1827-01-19,M,rep,1859-12-05,1861-03-03,PA
John,McQueen,1804-02-09,M,rep,1847-12-06,1849-03-03,SC
John,McRae,1815-01-10,M,sen,1851-12-01,1853-03-03,MS
William,Miles,1822-07-04,M,rep,1857-12-07,1859-03-03,SC
John,Millson,1808-10-01,M,rep,1849-12-03,1851-03-03,VA
William,Millward,1822-06-30,M,rep,1855-12-03,1857-03-03,PA
William,Montgomery,1818-04-11,M,rep,1857-12-07,1859-03-03,PA
Laban,Moore,1829-01-13,M,rep,1859-12-05,1861-03-03,KY
Sydenham,Moore,1817-05-25,M,rep,1857-12-07,1859-03-03,AL
Isaac,Morris,1812-01-22,M,rep,1857-12-07,1859-03-03,IL
Freeman,Morse,1807-02-18,M,rep,1843-12-04,1845-03-03,ME
Alfred,Nicholson,1808-08-31,M,sen,1840-01-01,1843-03-03,TN
Miguel,Otero,1829-06-21,M,rep,1855-12-03,1857-03-03,NM
George,Palmer,1818-01-13,M,rep,1857-12-07,1859-03-03,NY
Marcus,Parrott,1828-10-27,M,rep,1857-12-07,1859-03-03,KS
William,Pennington,1796-05-04,M,rep,1859-12-05,1861-03-03,NJ
John,Perry,1811-08-02,M,rep,1855-12-03,1857-03-03,ME
John,Pettit,1820-09-11,M,rep,1855-12-03,1857-03-03,IN
Samuel,Peyton,1804-01-08,M,rep,1847-12-06,1849-03-03,KY
Emory,Pottle,1815-07-04,M,rep,1857-12-07,1859-03-03,NY
Lazarus,Powell,1812-10-06,M,sen,1859-12-05,1865-03-03,KY
Roger,Pryor,1828-07-19,M,rep,1859-12-05,1861-03-03,VA
James,Quarles,1823-02-08,M,rep,1859-12-05,1861-03-03,TN
Edwin,Reynolds,1816-02-16,M,rep,1859-12-05,1861-03-03,NY
John,Reynolds,1819-06-21,M,rep,1859-12-05,1861-03-03,NY
Jetur,Riggs,1809-06-20,M,rep,1859-12-05,1861-03-03,NJ
Christopher,Robinson,1806-05-15,M,rep,1859-12-05,1861-03-03,RI
Homer,Royce,1819-06-14,M,rep,1857-12-07,1859-03-03,VT
Thomas,Ruffin,1820-09-09,M,rep,1853-12-05,1855-03-03,NC
Albert,Rust,#N/A,M,rep,1855-12-03,1857-03-03,AR
John,Schwartz,1793-10-27,M,rep,1859-12-05,1861-03-03,PA
Charles,Scott,1827-01-23,M,rep,1857-12-07,1859-03-03,CA
William,Sebastian,#N/A,M,sen,1848-01-01,1853-03-03,AR
William,Simms,1822-01-02,M,rep,1859-12-05,1861-03-03,KY
Delazon,Smith,1816-10-05,M,sen,1859-12-05,1859-12-31,OR
William,Smith,1797-09-06,M,rep,1841-05-31,1843-03-03,VA
William,Smith,1812-09-24,M,rep,1859-12-05,1861-03-03,NC
Daniel,Somes,1815-05-20,M,rep,1859-12-05,1861-03-03,ME
Cyrus,Spink,1793-03-24,M,rep,1859-12-05,1861-03-03,OH
Francis,Spinner,1802-01-21,M,rep,1855-12-03,1857-03-03,NY
James,Stallworth,1822-04-07,M,rep,1857-12-07,1859-03-03,AL
Benjamin,Stanton,1809-06-04,M,rep,1851-12-01,1853-03-03,OH
Isaac,Stevens,1818-03-25,M,rep,1857-12-07,1859-03-03,WA
James,Stewart,1808-11-24,M,rep,1855-12-03,1857-03-03,MD
William,Stewart,1810-09-10,M,rep,1857-12-07,1859-03-03,PA
Lansing,Stout,1828-03-27,M,rep,1859-12-05,1861-03-03,OR
Mason,Tappan,1817-10-20,M,rep,1855-12-03,1857-03-03,NH
Miles,Taylor,1805-07-16,M,rep,1855-12-03,1857-03-03,LA
John,Ten Eyck,1814-03-12,M,sen,1859-12-05,1865-03-03,NJ
Eli,Thayer,1819-06-11,M,rep,1857-12-07,1859-03-03,MA
Thomas,Theaker,1812-02-01,M,rep,1859-12-05,1861-03-03,OH
James,Thomas,1808-09-22,M,rep,1847-12-06,1849-03-03,TN
Cydnor,Tompkins,1810-11-08,M,rep,1857-12-07,1859-03-03,OH
Robert,Toombs,1810-07-02,M,rep,1845-12-01,1847-03-03,GA
John,Underwood,1816-11-20,M,rep,1859-12-05,1861-03-03,GA
Edward,Wade,1802-11-22,M,rep,1853-12-05,1855-03-03,OH
Israel,Washburn,1813-06-06,M,rep,1851-12-01,1853-03-03,ME
Alfred,Wells,1814-05-27,M,rep,1859-12-05,1861-03-03,NY
William,Whiteley,1819-08-07,M,rep,1857-12-07,1859-03-03,DE
Louis,Wigfall,1816-04-21,M,sen,1859-12-05,1861-12-31,TX
James,Wilson,1825-04-09,M,rep,1857-12-07,1859-03-03,IN
Warren,Winslow,1810-01-01,M,rep,1855-12-03,1857-03-03,NC
John,Wood,1816-09-06,M,rep,1859-12-05,1861-03-03,PA
John,Woodruff,1826-02-12,M,rep,1855-12-03,1857-03-03,CT
Samuel,Woodson,1815-10-24,M,rep,1857-12-07,1859-03-03,MO
John,Wright,1828-06-28,M,rep,1855-12-03,1857-03-03,TN
Edward,Baker,1811-02-24,M,rep,1845-12-01,1847-03-03,IL
Milton,Latham,1827-05-23,M,rep,1853-12-05,1855-03-03,CA
Abraham,Lincoln,1809-02-12,M,rep,1847-12-06,1849-03-03,IL
Charles,Adams,1807-08-18,M,rep,1859-12-05,1861-03-03,MA
Cyrus,Aldrich,1808-06-18,M,rep,1859-12-05,1861-03-03,MN
William,Allen,1827-08-13,M,rep,1859-12-05,1861-03-03,OH
William,Appleton,1786-11-16,M,rep,1851-12-01,1853-03-03,MA
Elijah,Babbitt,1795-07-29,M,rep,1859-12-05,1861-03-03,PA
Goldsmith,Bailey,1823-07-17,M,rep,1861-07-04,1863-03-03,MA
Stephen,Baker,1819-08-12,M,rep,1861-07-04,1863-03-03,NY
John,Bernhisel,1799-07-23,M,rep,1851-12-01,1853-03-03,UT
Charles,Biddle,1819-04-30,M,rep,1861-07-04,1863-03-03,PA
Samuel,Blair,1821-12-05,M,rep,1859-12-05,1861-03-03,PA
Harrison,Blake,1818-03-17,M,rep,1859-12-05,1861-03-03,OH
John,Breckinridge,1821-01-16,M,rep,1851-12-01,1853-03-03,KY
George,Bridges,1825-10-09,M,rep,1861-07-04,1863-03-03,TN
George,Browne,1811-01-06,M,rep,1861-07-04,1863-03-03,RI
Orville,Browning,1806-02-10,M,sen,1861-07-04,1863-12-31,IL
Henry,Burnett,1825-10-05,M,rep,1855-12-03,1857-03-03,KY
Alfred,Burnham,1819-03-08,M,rep,1859-12-05,1861-03-03,CT
Charles,Calvert,1808-08-24,M,rep,1861-07-04,1863-03-03,MD
James,Campbell,1820-02-08,M,rep,1855-12-03,1857-03-03,PA
John,Carlile,1817-12-16,M,rep,1855-12-03,1857-03-03,VA
Samuel,Casey,1821-02-12,M,rep,1861-07-04,1863-03-03,KY
Jacob,Chamberlain,1802-08-01,M,rep,1861-07-04,1863-03-03,NY
Salmon,Chase,1808-01-13,M,sen,1849-12-03,1855-03-03,OH
Daniel,Clark,1809-10-24,M,sen,1857-12-07,1861-03-03,NH
John,Clark,1802-04-17,M,rep,1857-12-07,1859-03-03,MO
Andrew,Clements,1832-12-23,M,rep,1861-07-04,1863-03-03,TN
George,Cobb,1813-10-13,M,rep,1861-07-04,1863-03-03,NJ
Jacob,Collamer,1791-01-08,M,rep,1843-12-04,1845-03-03,VT
Frederick,Conkling,1816-08-22,M,rep,1861-07-04,1863-03-03,NY
Martin,Conway,1827-11-19,M,rep,1859-12-05,1861-03-03,KS
Thomas,Cooper,1823-12-29,M,rep,1861-07-04,1863-03-03,PA
Thomas,Corwin,1794-07-29,M,rep,1831-12-05,1833-03-03,OH
Edgar,Cowan,1815-09-19,M,sen,1861-07-04,1867-03-03,PA
John,Cradlebaugh,1819-02-22,M,rep,1861-07-04,1863-03-03,NV
John,Crisfield,1806-11-08,M,rep,1847-12-06,1849-03-03,MD
John,Crittenden,1786-09-10,M,sen,1817-12-01,1819-03-03,KY
Samuel,Curtis,1805-02-03,M,rep,1857-12-07,1859-03-03,IA
William,Cutler,1812-07-12,M,rep,1861-07-04,1863-03-03,OH
William,Davis,1815-08-16,M,rep,1861-07-04,1863-03-03,PA
Daniel,De Jarnette,1822-10-18,M,rep,1859-12-05,1861-03-03,VA
Charles,Delano,1820-06-24,M,rep,1859-12-05,1861-03-03,MA
Isaac,Delaplaine,1817-10-27,M,rep,1861-07-04,1863-03-03,NY
Alexander,Diven,1809-02-10,M,rep,1861-07-04,1863-03-03,NY
George,Dunlap,1813-02-22,M,rep,1861-07-04,1863-03-03,KY
William,Dunn,1814-12-12,M,rep,1859-12-05,1861-03-03,IN
Sidney,Edgerton,1818-08-17,M,rep,1859-12-05,1861-03-03,OH
Thomas,Edwards,1795-12-16,M,rep,1859-12-05,1861-03-03,NH
Alfred,Ely,1815-02-15,M,rep,1859-12-05,1861-03-03,NY
Samuel,Fessenden,1815-03-07,M,rep,1861-07-04,1863-03-03,ME
Thomas,Fessenden,1826-01-23,M,rep,1861-07-04,1863-03-03,ME
George,Fisher,1817-10-13,M,rep,1861-07-04,1863-03-03,DE
Benjamin,Flanders,1816-01-26,M,rep,1861-07-04,1863-03-03,LA
Lafayette,Foster,1806-11-22,M,sen,1855-12-03,1861-03-03,CT
Philip,Fouke,1818-01-23,M,rep,1859-12-05,1861-03-03,IL
Richard,Franchot,1816-06-02,M,rep,1861-07-04,1863-03-03,NY
Bradley,Granger,1825-03-12,M,rep,1861-07-04,1863-03-03,MI
John,Gurley,1813-12-09,M,rep,1859-12-05,1861-03-03,OH
Edward,Haight,1817-03-26,M,rep,1861-07-04,1863-03-03,NY
Luther,Hanchett,1825-10-25,M,rep,1861-07-04,1863-03-03,WI
Ira,Harris,1802-05-31,M,sen,1861-07-04,1867-03-03,NY
Richard,Harrison,1824-04-08,M,rep,1861-07-04,1863-03-03,OH
John,Hickman,1810-09-11,M,rep,1855-12-03,1857-03-03,PA
Valentine,Horton,1802-01-29,M,rep,1855-12-03,1857-03-03,OH
John,Hutchins,1812-07-25,M,rep,1859-12-05,1861-03-03,OH
James,Jackson,1823-09-27,M,rep,1861-07-04,1863-03-03,KY
Waldo,Johnson,1817-09-16,M,sen,1861-07-04,1863-03-03,MO
William,Kellogg,1814-07-08,M,rep,1857-12-07,1859-03-03,IL
James,Kerrigan,1828-12-25,M,rep,1861-07-04,1863-03-03,NY
Henry,Lane,1811-02-24,M,rep,1839-12-02,1841-03-03,IN
Cornelius,Leary,1813-10-22,M,rep,1861-07-04,1863-03-03,MD
William,Lehman,1821-08-21,M,rep,1861-07-04,1863-03-03,PA
Dwight,Loomis,1821-07-27,M,rep,1859-12-05,1861-03-03,CT
Frederick,Low,1828-06-30,M,rep,1861-07-04,1863-03-03,CA
Henry,May,1816-02-13,M,rep,1853-12-05,1855-03-03,MD
John,McClernand,1812-05-30,M,rep,1843-12-04,1845-03-03,IL
James,McDougall,1817-11-19,M,rep,1853-12-05,1855-03-03,CA
James,McKean,1821-08-05,M,rep,1859-12-05,1861-03-03,NY
Robert,McKnight,1820-01-20,M,rep,1859-12-05,1861-03-03,PA
Edward,McPherson,1830-07-31,M,rep,1859-12-05,1861-03-03,PA
John,Menzies,1819-04-12,M,rep,1861-07-04,1863-03-03,KY
Charles,Mitchel,1815-09-19,M,sen,1861-07-04,1861-12-31,AR
William,Mitchell,1807-01-19,M,rep,1861-07-04,1863-03-03,IN
Anson,Morrill,1803-06-10,M,rep,1861-07-04,1863-03-03,ME
Edward,Morris,1815-07-16,M,rep,1843-12-04,1845-03-03,PA
Thomas,Nelson,1812-03-19,M,rep,1859-12-05,1861-03-03,TN
John,Nixon,1820-08-31,M,rep,1859-12-05,1861-03-03,NJ
Elijah,Norton,1821-11-21,M,rep,1861-07-04,1863-03-03,MO
Robert,Nugen,1809-07-16,M,rep,1861-07-04,1863-03-03,OH
Abram,Olin,1808-09-21,M,rep,1857-12-07,1859-03-03,NY
James,Pearce,1805-12-14,M,rep,1835-12-07,1837-03-03,MD
John,Phelps,1814-12-22,M,rep,1845-12-01,1847-03-03,MO
Timothy,Phelps,1824-12-20,M,rep,1861-07-04,1863-03-03,CA
Albert,Porter,1824-04-20,M,rep,1859-12-05,1861-03-03,IN
John,Potter,1817-05-11,M,rep,1857-12-07,1859-03-03,WI
Thomas,Price,1809-01-19,M,rep,1861-07-04,1863-03-03,MO
John,Reid,1821-06-14,M,rep,1861-07-04,1863-03-03,MO
Albert,Riddle,1816-05-28,M,rep,1861-07-04,1863-03-03,OH
George,Scranton,1811-05-11,M,rep,1859-12-05,1861-03-03,PA
Charles,Sedgwick,1815-03-15,M,rep,1859-12-05,1861-03-03,NY
Socrates,Sherman,1801-07-22,M,rep,1861-07-04,1863-03-03,NY
George,Shiel,#N/A,M,rep,1861-07-04,1863-03-03,OR
Andrew,Sloan,1820-06-12,M,rep,1861-07-04,1863-03-03,WI
Edward,Smith,1809-05-05,M,rep,1861-07-04,1863-03-03,NY
Elbridge,Spaulding,1809-02-24,M,rep,1849-12-03,1851-03-03,NY
Benjamin,Stark,1820-06-26,M,sen,1861-07-04,1863-03-03,OR
John,Stratton,1817-11-27,M,rep,1859-12-05,1861-03-03,NJ
Andrew,Thayer,1818-11-27,M,rep,1861-07-04,1863-03-03,OR
Benjamin,Thomas,1813-02-12,M,rep,1861-07-04,1863-03-03,MA
Charles,Train,1817-10-18,M,rep,1859-12-05,1861-03-03,MA
Carey,Trimble,1813-09-13,M,rep,1859-12-05,1861-03-03,OH
Charles,Upton,1812-08-23,M,rep,1861-07-04,1863-03-03,VA
Clement,Vallandigham,1820-07-29,M,rep,1857-12-07,1859-03-03,OH
John,Verree,1817-03-09,M,rep,1859-12-05,1861-03-03,PA
Chauncey,Vibbard,1811-11-11,M,rep,1861-07-04,1863-03-03,NY
Amasa,Walker,1799-05-04,M,rep,1861-07-04,1863-03-03,MA
William,Wall,1800-03-20,M,rep,1861-07-04,1863-03-03,NY
Charles,Walton,1819-12-09,M,rep,1861-07-04,1863-03-03,ME
Eliakim,Walton,1812-02-17,M,rep,1857-12-07,1859-03-03,VT
John,Watts,1816-01-19,M,rep,1861-07-04,1863-03-03,NM
Albert,White,1803-10-24,M,rep,1837-09-04,1839-03-03,IN
Charles,Wickliffe,1788-06-08,M,rep,1823-12-01,1825-03-03,KY
David,Wilmot,1814-01-20,M,rep,1845-12-01,1847-03-03,PA
George,Woodruff,1805-12-01,M,rep,1861-07-04,1863-03-03,CT
Samuel,Worcester,1804-08-30,M,rep,1861-07-04,1863-03-03,OH
Samuel,Arnold,1821-04-12,M,sen,1862-01-01,1863-03-03,RI
Richard,Field,1803-12-31,M,sen,1862-01-01,1863-03-03,NJ
Benjamin,Harding,1823-01-04,M,sen,1862-01-01,1865-03-03,OR
John,Henderson,1826-11-16,M,sen,1862-01-17,1863-03-03,MO
Thomas,Hicks,1798-09-02,M,sen,1862-01-01,1865-12-31,MD
Robert,Wilson,#N/A,M,sen,1862-01-01,1863-12-31,MO
Joseph,Wright,1810-04-17,M,rep,1843-12-04,1845-03-03,IN
James,Allen,1822-01-29,M,rep,1853-12-05,1855-03-03,IL
William,Allen,1829-06-09,M,rep,1861-07-04,1863-03-03,IL
Lucien,Anderson,1824-06-23,M,rep,1863-12-07,1865-03-03,KY
Isaac,Arnold,1815-11-30,M,rep,1861-07-04,1863-03-03,IL
Joseph,Bailey,1810-03-18,M,rep,1861-07-04,1863-03-03,PA
Augustus,Baldwin,1817-12-24,M,rep,1863-12-07,1865-03-03,MI
Hiram,Bennet,1826-09-02,M,rep,1861-07-04,1863-03-03,CO
Jacob,Blair,1821-04-11,M,rep,1861-07-04,1863-03-03,VA
George,Bliss,1813-01-01,M,rep,1853-12-05,1855-03-03,OH
Lemuel,Bowden,1815-01-16,M,sen,1863-12-07,1865-03-03,VA
Benjamin,Brown,1826-05-28,M,sen,1863-12-07,1867-03-03,MO
James,Brown,1824-02-01,M,rep,1863-12-07,1865-03-03,WI
William,Brown,1800-09-25,M,rep,1845-12-01,1847-03-03,VA
Ambrose,Clark,1810-02-19,M,rep,1861-07-04,1863-03-03,NY
Brutus,Clay,1808-07-01,M,rep,1863-12-07,1865-03-03,KY
George,Cole,1826-12-23,M,rep,1863-12-07,1865-03-03,WA
John,Conness,1821-09-22,M,sen,1863-12-07,1869-03-03,CA
Erastus,Corning,1794-12-14,M,rep,1857-12-07,1859-03-03,NY
James,Cravens,1818-11-04,M,rep,1861-07-04,1863-03-03,IN
Samuel,Daily,#N/A,M,rep,1859-12-05,1861-03-03,NE
Henry,Davis,1817-08-16,M,rep,1855-12-03,1857-03-03,MD
James,Dixon,1814-08-05,M,rep,1845-12-01,1847-03-03,CT
James,Doolittle,1815-01-03,M,sen,1857-12-07,1863-03-03,WI
Joseph,Edgerton,1818-02-16,M,rep,1863-12-07,1865-03-03,IN
Solomon,Foot,1802-11-19,M,rep,1843-12-04,1845-03-03,VT
Augustus,Frank,1826-07-17,M,rep,1859-12-05,1861-03-03,NY
John,Ganson,1818-01-01,M,rep,1863-12-07,1865-03-03,NY
James,Hale,1810-10-14,M,rep,1859-12-05,1861-03-03,PA
William,Hall,1815-10-15,M,rep,1861-07-04,1863-03-03,MO
Henry,Harrington,1825-09-12,M,rep,1863-12-07,1865-03-03,IN
Charles,Harris,1821-04-10,M,rep,1863-12-07,1865-03-03,IL
Thomas,Hendricks,1819-09-07,M,rep,1851-12-01,1853-03-03,IN
Anson,Herrick,1812-01-21,M,rep,1863-12-07,1865-03-03,NY
Wells,Hutchins,1818-10-08,M,rep,1863-12-07,1865-03-03,OH
William,Jayne,1826-10-08,M,rep,1863-12-07,1865-03-03,DK
Reverdy,Johnson,1796-05-21,M,sen,1845-12-01,1849-12-31,MD
William,Johnston,#N/A,M,rep,1863-12-07,1865-03-03,OH
Martin,Kalbfleisch,1804-02-08,M,rep,1863-12-07,1865-03-03,NY
Austin,King,1802-09-21,M,rep,1863-12-07,1865-03-03,MO
John,Kinney,1816-04-02,M,rep,1863-12-07,1865-03-03,UT
Anthony,Knapp,1828-06-14,M,rep,1861-07-04,1863-03-03,IL
Samuel,Knox,1815-03-21,M,rep,1863-12-07,1865-03-03,MO
John,Law,1796-10-28,M,rep,1861-07-04,1863-03-03,IN
Jesse,Lazear,1804-12-12,M,rep,1861-07-04,1863-03-03,PA
De,Littlejohn,1818-02-07,M,rep,1863-12-07,1865-03-03,NY
Alexander,Long,1816-12-24,M,rep,1863-12-07,1865-03-03,OH
Owen,Lovejoy,1811-01-06,M,rep,1857-12-07,1859-03-03,IL
Robert,Mallory,1815-11-15,M,rep,1859-12-05,1861-03-03,KY
Daniel,Marcy,1809-11-07,M,rep,1863-12-07,1865-03-03,NH
Archibald,McAllister,1813-10-12,M,rep,1863-12-07,1865-03-03,PA
John,McBride,1832-08-22,M,rep,1863-12-07,1865-03-03,OR
James,McDowell,1825-12-03,M,rep,1863-12-07,1865-03-03,IN
George,Middleton,1800-10-14,M,rep,1863-12-07,1865-03-03,NJ
William,Miller,1829-02-28,M,rep,1863-12-07,1865-03-03,PA
Edwin,Morgan,1811-02-08,M,sen,1863-12-07,1869-03-03,NY
James,Morris,1819-01-10,M,rep,1861-07-04,1863-03-03,OH
Gordon,Mott,1812-10-21,M,rep,1863-12-07,1865-03-03,NV
Amos,Myers,1824-04-23,M,rep,1863-12-07,1865-03-03,PA
Homer,Nelson,1829-08-31,M,rep,1863-12-07,1865-03-03,NY
Warren,Noble,1820-06-14,M,rep,1861-07-04,1863-03-03,OH
John,Noell,1816-02-22,M,rep,1859-12-05,1861-03-03,MO
Jesse,Norton,1812-12-25,M,rep,1853-12-05,1855-03-03,IL
John,O’Neill,1822-12-17,M,rep,1863-12-07,1865-03-03,OH
Moses,Odell,1818-02-24,M,rep,1861-07-04,1863-03-03,NY
Francisco,Perea,1830-01-09,M,rep,1863-12-07,1865-03-03,NM
Nehemiah,Perry,1816-03-30,M,rep,1861-07-04,1863-03-03,NJ
Charles,Poston,1825-04-20,M,rep,1863-12-07,1865-03-03,AZ
William,Richardson,1811-01-16,M,rep,1847-12-06,1849-03-03,IL
James,Rollins,1812-04-19,M,rep,1861-07-04,1863-03-03,MO
John,Scott,1819-12-26,M,rep,1863-12-07,1865-03-03,MO
Joseph,Segar,1804-06-01,M,rep,1861-07-04,1863-03-03,VA
Thomas,Shannon,1827-09-21,M,rep,1863-12-07,1865-03-03,CA
Nathaniel,Smithers,1818-10-08,M,rep,1863-12-07,1865-03-03,DE
Henry,Stebbins,1811-09-15,M,rep,1863-12-07,1865-03-03,NY
John,Steele,1814-03-28,M,rep,1861-07-04,1863-03-03,NY
William,Steele,1820-12-17,M,rep,1861-07-04,1863-03-03,NJ
John,Stuart,1807-11-10,M,rep,1839-12-02,1841-03-03,IL
Lorenzo,Sweat,1818-05-26,M,rep,1863-12-07,1865-03-03,ME
William,Temple,1814-02-28,M,rep,1863-12-07,1865-03-03,DE
John,Todd,1814-04-04,M,rep,1861-07-04,1863-03-03,DK
Henry,Tracy,1807-09-24,M,rep,1863-12-07,1865-03-03,PA
Robert,Van Valkenburgh,1821-09-04,M,rep,1861-07-04,1863-03-03,NY
Peter,Van Winkle,1808-09-07,M,sen,1863-12-07,1869-03-03,WV
Benjamin,Wade,1800-10-27,M,sen,1851-12-01,1857-03-03,OH
James,Wall,1820-05-26,M,sen,1863-12-07,1863-12-31,NJ
William,Wallace,1811-07-19,M,rep,1861-07-04,1863-03-03,WA
Ezra,Wheeler,1820-12-23,M,rep,1863-12-07,1865-03-03,WI
Chilton,White,1826-02-06,M,rep,1861-07-04,1863-03-03,OH
Joseph,White,1822-10-02,M,rep,1863-12-07,1865-03-03,OH
